SVL,Weight,HeadW,ShW,ThL,LoLegL,ThW,LLegW,Risk
14.355,0.17,4.945008972,4.23915221,4.9255,5.0635,2.378736213,1.437260095,low
14.387,0.17,4.785404928,4.945450827,5.273,4.8355,2.326673574,1.426954546,low
12.923,0.171,4.530010977,4.105037433,4.992,4.1345,2.334476334,1.589576488,null
13.325,0.171,4.741620991,4.368968559,5.5715,4.932,2.18162016,1.327975921,null
13.421,0.171,4.826770392,4.542936005,5.2295,4.704,2.262201678,1.604146578,null
13.984,0.171,4.836275465,4.432770821,5.505,4.935,2.075174893,1.422856905,null
14.061,0.171,4.621895999,4.090374686,5.759,5.182,2.105023539,1.254551,null
14.168,0.171,4.851050375,4.569810377,4.687,4.7575,2.283518964,1.436389042,null
14.416,0.171,4.836214746,4.310110054,5.403,4.918,2.353872356,1.465876487,low
13.405,0.172,4.571690574,4.043619149,4.8705,4.7885,2.459499688,1.540588788,null
13.619,0.172,4.626200513,4.237060355,5.8025,4.649,2.178028689,1.38963579,null
13.779,0.172,4.649612838,4.37144825,5.255,4.5465,2.250754717,1.586115327,null
13.937,0.172,4.864486552,4.132992309,5.0795,5.0795,2.322510072,1.386713906,null
13.992,0.172,4.886337479,3.987221144,5.577,5.247,2.112591688,1.343541292,null
13.561,0.173,4.781792625,4.108320609,5.3405,4.5695,2.293950987,1.616280077,null
13.659,0.173,4.466118777,3.947158905,5.18,4.9495,2.193630925,1.518816122,null
13.721,0.173,4.827130502,4.058939824,5.7935,5.384,2.241194783,1.204783137,null
13.756,0.173,4.81431648,4.361500034,5.412,4.986,2.295806312,1.457445872,null
14.408,0.173,4.530049318,4.504263073,5.2235,4.9785,2.359885479,1.401783044,low
13.483,0.174,4.692336697,4.340418544,5.3165,4.864,2.261588212,1.345507283,null
13.592,0.174,4.820058544,3.809212503,5.323,4.6765,2.171636049,1.595204998,null
13.689,0.174,4.763648628,4.25404442,5.153,5.0495,2.284967122,1.273149326,null
13.788,0.174,4.62636718,4.290712236,5.342,5.014,2.075872158,1.422586936,null
14.007,0.174,4.706378288,4.410783414,5.1905,5.02,2.287293275,1.380901085,null
12.962,0.175,4.792308648,4.499877503,5.339,4.699,2.190936949,1.529784899,null
13.682,0.175,4.781383621,4.354361176,5.856,5.1785,2.110181823,1.325922342,null
13.704,0.175,4.70921868,4.335535408,5.745,4.4695,2.076293469,1.491720893,null
